indication,rule,group_value,group_label,sub_group,sub_group_n_value,orr_value,orr_label,cr_value,cr_label,pr_value,pr_label
dlbcl,monotherapy,overall study population,Overall Study Population,,,61,"(n=90/148; 95% CI, 53-69)",38,"(n=56/148; 95% CI, 30-46)",23,"(n=34/148; 95% CI, 17-31)"
dlbcl,monotherapy,age,Age,<65 years,(n=74/148),53,"(95% CI, 41-64)",34,"(95% CI, 23-46)",19,
dlbcl,monotherapy,age,Age,65 to <75 years,(n=45/148),67,"(95% CI, 51-80)",38,"(95% CI, 24-53)",29,
dlbcl,monotherapy,age,Age,³75 years,(n=29/148),72,"(95% CI, 53-87)",48,"(95% CI, 29-67)",24,
dlbcl,monotherapy,gender,Gender,male,(n=91/148),55,"(95% CI, 45-65)",33,"(95% CI, 23-44)",22,
dlbcl,monotherapy,gender,Gender,female,(n=57/148),70,"(95% CI, 57-82)",46,"(95% CI, 32-59)",24,
dlbcl,monotherapy,race,Race,white,(n=90/148),59,"(95% CI, 48-69)",36,"(95% CI, 26-46)",23,
dlbcl,monotherapy,race,Race,asian,(n=29/148),62,"(95% CI, 42-79)",38,"(95% CI, 21-58)",24,
dlbcl,monotherapy,ecog,Baseline ECOG performance score,0,(n=71/148),72,"(95% CI, 60-82)",48,"(95% CI, 37-61)",23,
dlbcl,monotherapy,ecog,Baseline ECOG performance score,1,(n=72/148),50,"(95% CI, 38-62)",29,"(95% CI, 19-41)",21,
dlbcl,monotherapy,prior_anti-lymphoma,Number of prior anti-lymphoma therapies,2,(n=44/148),61,"(95% CI, 45-76)",34,"(95% CI, 20-50)",27,
dlbcl,monotherapy,prior_anti-lymphoma,Number of prior anti-lymphoma therapies,3,(n=45/148),62,"(95% CI, 47-76)",38,"(95% CI, 24-53)",24,
dlbcl,monotherapy,prior_anti-lymphoma,Number of prior anti-lymphoma therapies,4+,(n=59/148),59,"(95% CI, 46-72)",41,"(95% CI, 28-54)",18,
dlbcl,monotherapy,last_anti-CD20,Time from last anti-CD20 therapy until first dose of EPKINLY,<median,(n=73/148),47,"(95% CI, 35-59)",27,"(95% CI, 18-39)",20,
dlbcl,monotherapy,last_anti-CD20,Time from last anti-CD20 therapy until first dose of EPKINLY,³median,(n=75/148),75,"(95% CI, 63-84)",48,"(95% CI, 36-60)",27,
dlbcl,monotherapy,prior_car-t,Prior CAR T experience,yes,(n=58/148),52,"(95% CI, 38-65)",33,"(95% CI, 21-46)",19,
dlbcl,monotherapy,prior_car-t,Prior CAR T experience,no,(n=90/148),67,"(95% CI, 56-76)",41,"(95% CI, 31-52)",26,
dlbcl,monotherapy,refractory_prior_car-t,Refractory to prior CAR T,yes,(n=43/148),42,"(95% CI, 27-58)",26,"(95% CI, 14-41)",16,
dlbcl,monotherapy,prior_asct,Prior ASCT,yes,(n=27/148),67,"(95% CI, 25-65)",44,"(95% CI, 25-65)",23,
dlbcl,monotherapy,prior_asct,Prior ASCT,no,(n=121/148),60,"(95% CI, 50-68)",36,"(95% CI, 28-46)",24,
dlbcl,monotherapy,prior_anti-lymphoma,Prior anti-lymphoma therapy status,primary_refractory,(n=89/148),52,"(95% CI, 41-62)",28,"(95% CI, 19-39)",24,
dlbcl,monotherapy,prior_anti-lymphoma,Prior anti-lymphoma therapy status,other,(n=59/148),75,"(95% CI, 62-85)",53,"(95% CI, 39-66)",22,
dlbcl,monotherapy,recent_prior_anti-CD20,Most recent prior anti-CD20Ðcontaining therapy status,refractory,(n=126/148),54,"(95% CI, 45-63)",33,"(95% CI, 24-41)",21,
dlbcl,monotherapy,recent_prior_anti-CD20,Most recent prior anti-CD20Ðcontaining therapy status,relapse,(n=22/148),100,"(95% CI, 85-100)",68,"(95% CI, 45-86)",32,
dlbcl,monotherapy,chromosomal_abnormality,Chromosomal abnormality (local),Double-hit/Triple-hit,(n=17/148),41,"(95% CI, 18-67)",24,"(95% CI, 7-50)",17,
dlbcl,monotherapy,ann_arbor_staging,Ann Arbor staging,I/II,(n=36/148),67,"(95% CI, 49-81)",50,"(95% CI, 33-67)",17,
dlbcl,monotherapy,ann_arbor_staging,Ann Arbor staging,III/IV,(n=112/148),59,"(95% CI, 49-68)",34,"(95% CI, 25-43)",25,
dlbcl,monotherapy,ipi_score,IPI score,0-2,(n=55/148),67,"(95% CI, 53-79)",45,"(95% CI, 32-59)",22,
dlbcl,monotherapy,ipi_score,IPI score,³3,(n=83/148),59,"(95% CI, 48-70)",35,"(95% CI, 25-46)",24,
dlbcl,monotherapy,dlbcl_disease_state,DLBCL disease state,De novo,(n=97/148),61,"(95% CI, 50-71)",37,"(95% CI, 28-48)",24,
dlbcl,monotherapy,dlbcl_disease_state,DLBCL disease state,Transformed,(n=40/148),68,"(95% CI, 51-81)",45,"(95% CI, 29-62)",23,
fl,monotherapy,overall study population,Overall Study Population,,,82,"(n=104/127; 95% CI, 74-88)",60,"(n=76/127; 95% CI, 51-68)",22,"(n=28/127; 95% CI, 15-30)"
fl,monotherapy,age,Age,<65 years,(n=61/127),84,"(95% CI, 72-92)",56,"(95% CI, 42-68)",28,
fl,monotherapy,age,Age,65 to <75 years,(n=50/127),78,"(95% CI, 64-88)",66,"(95% CI, 51-79)",12,
fl,monotherapy,age,Age,³65 years,(n=66/127),80,"(95% CI, 69-89)",64,"(95% CI, 51-75)",16,
fl,monotherapy,gender,Gender,male,(n=79/127),80,"(95% CI, 69-88)",59,"(95% CI, 48-70)",21,
fl,monotherapy,gender,Gender,female,(n=48/127),85,"(95% CI, 72-94)",60,"(95% CI, 45-74)",25,
fl,monotherapy,race,Race,white,(n=76/127),79,"(95% CI, 68-87)",57,"(95% CI, 45-68)",22,
fl,monotherapy,baseline_ECOG,Baseline ECOG performance score,0,(n=69/127),86,"(95% CI, 75-93)",65,"(95% CI, 53-76)",21,
fl,monotherapy,baseline_ECOG,Baseline ECOG performance score,1,(n=51/127),78,"(95% CI, 40-69)",55,"(95% CI, 40-69)",23,
fl,monotherapy,baseline_ECOG,Baseline ECOG performance score,2,(n=00/000),0,"(00% CI, 00-0)",0,"(00% CI, 00-0)",0,
fl,monotherapy,prior_anti-lymphoma,Number of prior anti-lymphoma therapies,2,(n=46/127),89,"(95% CI, 76-96)",70,"(95% CI, 54-82)",19,
fl,monotherapy,prior_anti-lymphoma,Number of prior anti-lymphoma therapies,3,(n=41/127),88,"(95% CI, 74-96)",63,"(95% CI, 47-78)",25,
fl,monotherapy,prior_anti-lymphoma,Number of prior anti-lymphoma therapies,4+,(n=40/127),68,"(95% CI, 51-81)",45,"(95% CI, 29-62)",23,
fl,monotherapy,last_recent_therapy,Time from any last/recent therapy (until first dose of EPKINLY),<median,(n=63/127),73,"(95% CI, 60-83)",44,"(95% CI, 32-58)",29,
fl,monotherapy,last_recent_therapy,Time from any last/recent therapy (until first dose of EPKINLY),³ median,(n=64/127),91,"(95% CI, 81-96)",75,"(95% CI, 63-85)",16,
fl,monotherapy,last_anti-CD20,Time from last anti-CD20 therapy (until first dose of EPKINLY),<median,(n=63/127),73,"(95% CI, 60-83)",51,"(95% CI, 38-64)",22,
fl,monotherapy,last_anti-CD20,Time from last anti-CD20 therapy (until first dose of EPKINLY),³ median,(n=64/127),91,"(95% CI, 81-96)",69,"(95% CI, 56-80)",22,
fl,monotherapy,prior_car_t,Prior CAR T experience,No,(n=121/127),83,"(95% CI, 75-89)",60,"(95% CI, 51-69)",23,
fl,monotherapy,prior_acst,Prior ASCT,Yes,(n=24/127),92,"(95% CI, 73-99)",71,"(95% CI, 49-87)",21,
fl,monotherapy,prior_acst,Prior ASCT,No,(n=103/127),80,"(95% CI, 71-87)",57,"(95% CI, 47-67)",23,
fl,monotherapy,pod24_immuno,"POD24 (progression, transformation, or relapse within 24 months of initiating first-line immunochemotherapy)",Yes,(n=53/127),79,"(95% CI, 66-89)",60,"(95% CI, 46-74)",19,
fl,monotherapy,pod24_immuno,"POD24 (progression, transformation, or relapse within 24 months of initiating first-line immunochemotherapy)",No,(n=74/127),84,"(95% CI, 73-91)",59,"(95% CI, 47-71)",25,
fl,monotherapy,pod24_first-line,"POD24 (progression, transformation, or relapse within 24 months from any first-line therapy)",Yes,(n=66/127),79,"(95% CI, 67-88)",62,"(95% CI, 49-74)",17,
fl,monotherapy,pod24_first-line,"POD24 (progression, transformation, or relapse within 24 months from any first-line therapy)",No,(n=61/127),85,"(95% CI, 74-93)",57,"(95% CI, 44-70)",28,
fl,monotherapy,pod24_f first-time_use ,"POD24 (progression, transformation, or relapse within 24 months of first-time use of immunochemotherapy, regardless of line)",Yes,(n=65/127),77,"(95% CI, 65-86)",60,"(95% CI, 47-72)",17,
